subjectIx,blockId,criterion,performance,failed
0,e000,IG_accuracy,100,FALSE
0,e001,IG_accuracy,82,FALSE
0,e002,IG_accuracy,91,FALSE
0,e003,IG_accuracy,73,TRUE
0,e004,IG_accuracy,86,FALSE
0,e005,IG_accuracy,89,FALSE
0,e006,IG_accuracy,100,FALSE
0,e007,IG_accuracy,82,FALSE
0,e008,IG_accuracy,100,FALSE
0,e009,IG_accuracy,100,FALSE
0,e010,IG_accuracy,100,FALSE
0,e011,IG_accuracy,80,FALSE
0,e000,NS_accuracy,98.5,FALSE
0,e001,NS_accuracy,98.5,FALSE
0,e002,NS_accuracy,100,FALSE
0,e003,NS_accuracy,97,FALSE
0,e004,NS_accuracy,98.5,FALSE
0,e005,NS_accuracy,98.5,FALSE
0,e006,NS_accuracy,97,FALSE
0,e007,NS_accuracy,98.5,FALSE
0,e008,NS_accuracy,94.5,FALSE
0,e009,NS_accuracy,98.5,FALSE
0,e010,NS_accuracy,95,FALSE
0,e011,NS_accuracy,95,FALSE
0,e000,NS_mean_RT,664.5,TRUE
0,e001,NS_mean_RT,560,FALSE
0,e002,NS_mean_RT,593,FALSE
0,e003,NS_mean_RT,595.5,FALSE
0,e004,NS_mean_RT,587.5,FALSE
0,e005,NS_mean_RT,628,FALSE
0,e006,NS_mean_RT,597,FALSE
0,e007,NS_mean_RT,612,FALSE
0,e008,NS_mean_RT,604,FALSE
0,e009,NS_mean_RT,586.5,FALSE
0,e010,NS_mean_RT,638.5,FALSE
0,e011,NS_mean_RT,647.5,FALSE
0,e000,NS_mean_RTdiff,15.5,FALSE
0,e001,NS_mean_RTdiff,12,FALSE
0,e002,NS_mean_RTdiff,18,FALSE
0,e003,NS_mean_RTdiff,14.5,FALSE
0,e004,NS_mean_RTdiff,13,FALSE
0,e005,NS_mean_RTdiff,17,FALSE
0,e006,NS_mean_RTdiff,18.5,FALSE
0,e007,NS_mean_RTdiff,11.5,FALSE
0,e008,NS_mean_RTdiff,17.5,FALSE
0,e009,NS_mean_RTdiff,17,FALSE
0,e010,NS_mean_RTdiff,14,FALSE
0,e011,NS_mean_RTdiff,14.5,FALSE
0,e000,SB_accuracy,70,FALSE
0,e001,SB_accuracy,64,FALSE
0,e002,SB_accuracy,20,FALSE
0,e003,SB_accuracy,55,FALSE
0,e004,SB_accuracy,69,FALSE
0,e005,SB_accuracy,80,FALSE
0,e006,SB_accuracy,80,FALSE
0,e007,SB_accuracy,62,FALSE
0,e008,SB_accuracy,75,FALSE
0,e009,SB_accuracy,56,FALSE
0,e010,SB_accuracy,90,FALSE
0,e011,SB_accuracy,30,FALSE
0,e000,SL_accuracy,56,FALSE
0,e001,SL_accuracy,43,FALSE
0,e002,SL_accuracy,40,FALSE
0,e003,SL_accuracy,33,FALSE
0,e004,SL_accuracy,55,FALSE
0,e005,SL_accuracy,22,FALSE
0,e006,SL_accuracy,62,FALSE
0,e007,SL_accuracy,67,FALSE
0,e008,SL_accuracy,42,FALSE
0,e009,SL_accuracy,60,FALSE
0,e010,SL_accuracy,56,FALSE
0,e011,SL_accuracy,70,FALSE
0,e000,SR_accuracy,40,FALSE
0,e001,SR_accuracy,38,FALSE
0,e002,SR_accuracy,36,FALSE
0,e003,SR_accuracy,60,FALSE
0,e004,SR_accuracy,45,FALSE
0,e005,SR_accuracy,50,FALSE
0,e006,SR_accuracy,38,FALSE
0,e007,SR_accuracy,64,FALSE
0,e008,SR_accuracy,80,FALSE
0,e009,SR_accuracy,58,FALSE
0,e010,SR_accuracy,50,FALSE
0,e011,SR_accuracy,55,FALSE
1,e000,IG_accuracy,82,FALSE
1,e001,IG_accuracy,82,FALSE
1,e002,IG_accuracy,100,FALSE
1,e003,IG_accuracy,91,FALSE
1,e004,IG_accuracy,100,FALSE
1,e005,IG_accuracy,100,FALSE
1,e006,IG_accuracy,100,FALSE
1,e007,IG_accuracy,100,FALSE
1,e008,IG_accuracy,92,FALSE
1,e009,IG_accuracy,100,FALSE
1,e010,IG_accuracy,100,FALSE
1,e011,IG_accuracy,100,FALSE
1,e000,NS_accuracy,98.5,FALSE
1,e001,NS_accuracy,100,FALSE
1,e002,NS_accuracy,97,FALSE
1,e003,NS_accuracy,100,FALSE
1,e004,NS_accuracy,100,FALSE
